19:53:54: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №92 Москва Мурманск 27 ноября 2018 г.. Вагоны: 0 47 15 14 13 12 11 10 9 8 41 7 6 5. Нумерация: С хвоста
19:53:54: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №10 Москва Псков 27 ноября 2018 г.. Вагоны: 0 87 88 3 4 5 6 7 8 9 41 10 13 14 15 16. Нумерация: С головы
20:05:10: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №776 Москва С.Петербург 27 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С головы
20:05:10: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №778 Москва С.Петербург 27 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С головы
20:05:10: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №92 Москва Мурманск 27 ноября 2018 г.. Вагоны: 0 47 15 14 13 12 11 10 9 8 41 7 6 5. Нумерация: С хвоста
20:05:10: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №10 Москва Псков 27 ноября 2018 г.. Вагоны: 0 87 88 3 4 5 6 7 8 9 41 10 13 14 15 16. Нумерация: С головы
20:05:10: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №773 С.Петербург Москва 27 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С хвоста
20:05:10: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №18 Москва Петрозаводск 27 ноября 2018 г.. Вагоны: 0 87 88 89 15 13 12 11 10 9 8 41 7 6 5 4 1. Нумерация: С хвоста
20:38:59: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №778 Москва С.Петербург 27 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С головы
20:38:59: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №92 Москва Мурманск 27 ноября 2018 г.. Вагоны: 0 47 15 14 13 12 11 10 9 8 41 7 6 5. Нумерация: С хвоста
